service_id,date,exception_type
17,20230430,1
17,20230507,1
17,20230514,1
17,20230521,1
17,20230528,1
17,20230604,1
17,20230611,1
17,20230618,1
17,20230625,1
17,20230702,1
18,20230110,1
18,20230111,1
18,20230112,1
18,20230113,1
18,20230117,1
18,20230118,1
18,20230119,1
18,20230120,1
18,20230123,1
18,20230124,1
18,20230125,1
18,20230126,1
18,20230127,1
18,20230130,1
18,20230131,1
18,20230201,1
18,20230202,1
18,20230203,1
18,20230206,1
18,20230207,1
18,20230208,1
18,20230209,1
18,20230210,1
18,20230213,1
18,20230214,1
18,20230215,1
18,20230216,1
18,20230217,1
18,20230221,1
18,20230222,1
18,20230223,1
18,20230224,1
18,20230227,1
18,20230228,1
18,20230301,1
18,20230302,1
18,20230303,1
18,20230306,1
18,20230307,1
18,20230308,1
18,20230309,1
18,20230310,1
18,20230313,1
18,20230314,1
18,20230315,1
18,20230316,1
18,20230317,1
18,20230320,1
18,20230321,1
18,20230322,1
18,20230323,1
18,20230324,1
18,20230327,1
18,20230328,1
18,20230329,1
18,20230330,1
18,20230331,1
18,20230403,1
18,20230404,1
18,20230405,1
18,20230406,1
18,20230407,1
18,20230410,1
18,20230411,1
18,20230412,1
18,20230413,1
18,20230414,1
18,20230417,1
18,20230418,1
18,20230419,1
18,20230420,1
18,20230421,1
18,20230424,1
18,20230425,1
18,20230426,1
18,20230427,1
18,20230428,1
18,20230501,1
18,20230502,1
18,20230503,1
18,20230504,1
18,20230505,1
18,20230508,1
18,20230509,1
18,20230510,1
18,20230511,1
18,20230512,1
18,20230515,1
18,20230516,1
18,20230517,1
18,20230518,1
18,20230519,1
18,20230522,1
18,20230523,1
18,20230524,1
18,20230525,1
18,20230526,1
18,20230529,1
18,20230530,1
18,20230531,1
18,20230601,1
18,20230602,1
18,20230605,1
18,20230606,1
18,20230607,1
18,20230608,1
18,20230609,1
18,20230612,1
18,20230613,1
18,20230614,1
18,20230615,1
18,20230616,1
18,20230619,1
18,20230620,1
18,20230621,1
18,20230622,1
18,20230623,1
18,20230626,1
18,20230627,1
18,20230628,1
18,20230629,1
18,20230630,1
18,20230703,1
18,20230704,1
18,20230705,1
18,20230706,1
18,20230707,1
19,20230127,1
19,20230128,1
19,20230203,1
19,20230204,1
19,20230210,1
19,20230211,1
19,20230217,1
19,20230218,1
19,20230219,1
19,20230224,1
19,20230225,1
19,20230303,1
19,20230304,1
19,20230310,1
19,20230311,1
19,20230317,1
19,20230318,1
19,20230324,1
19,20230325,1
19,20230331,1
20,20230113,1
20,20230114,1
20,20230115,1
20,20230120,1
21,20230122,1
21,20230123,1
21,20230124,1
21,20230125,1
21,20230126,1
21,20230129,1
21,20230130,1
21,20230131,1
21,20230201,1
21,20230202,1
21,20230205,1
21,20230206,1
21,20230207,1
21,20230208,1
21,20230209,1
21,20230212,1
21,20230213,1
21,20230214,1
21,20230215,1
21,20230216,1
21,20230220,1
21,20230221,1
21,20230222,1
21,20230223,1
21,20230226,1
21,20230227,1
21,20230228,1
21,20230301,1
21,20230302,1
21,20230305,1
21,20230306,1
21,20230307,1
21,20230308,1
21,20230309,1
21,20230312,1
21,20230313,1
21,20230314,1
21,20230315,1
21,20230316,1
21,20230319,1
21,20230320,1
21,20230321,1
21,20230322,1
21,20230323,1
21,20230326,1
21,20230327,1
21,20230330,1
22,20230110,1
22,20230111,1
22,20230112,1
22,20230116,1
22,20230117,1
22,20230118,1
22,20230119,1
23,20230110,1
23,20230111,1
23,20230112,1
23,20230113,1
23,20230117,1
23,20230118,1
23,20230119,1
23,20230120,1
23,20230123,1
23,20230124,1
23,20230125,1
23,20230126,1
23,20230127,1
23,20230130,1
23,20230131,1
23,20230201,1
23,20230202,1
23,20230203,1
23,20230206,1
23,20230207,1
23,20230208,1
23,20230209,1
23,20230210,1
23,20230213,1
23,20230214,1
23,20230215,1
23,20230216,1
23,20230217,1
23,20230221,1
23,20230222,1
23,20230223,1
23,20230224,1
23,20230227,1
23,20230228,1
23,20230301,1
23,20230302,1
23,20230303,1
23,20230306,1
23,20230307,1
23,20230308,1
23,20230309,1
23,20230310,1
23,20230313,1
23,20230314,1
23,20230315,1
23,20230316,1
23,20230317,1
23,20230320,1
23,20230321,1
23,20230322,1
23,20230323,1
23,20230324,1
23,20230327,1
23,20230330,1
23,20230331,1
24,20230110,1
24,20230111,1
24,20230112,1
24,20230117,1
24,20230118,1
24,20230119,1
25,20230127,1
25,20230203,1
25,20230210,1
25,20230217,1
25,20230224,1
25,20230303,1
25,20230310,1
25,20230317,1
25,20230324,1
25,20230331,1
26,20230128,1
26,20230204,1
26,20230211,1
26,20230218,1
26,20230219,1
26,20230225,1
26,20230304,1
26,20230311,1
26,20230318,1
26,20230325,1
27,20230113,1
27,20230120,1
28,20230114,1
28,20230115,1
29,20230113,1
29,20230114,1
29,20230115,1
29,20230116,1
29,20230120,1
30,20230122,1
30,20230127,1
30,20230128,1
30,20230129,1
30,20230203,1
30,20230204,1
30,20230205,1
30,20230210,1
30,20230211,1
30,20230212,1
30,20230217,1
30,20230218,1
30,20230219,1
30,20230220,1
30,20230224,1
30,20230225,1
30,20230226,1
30,20230303,1
30,20230304,1
30,20230305,1
30,20230310,1
30,20230311,1
30,20230312,1
30,20230317,1
30,20230318,1
30,20230319,1
30,20230324,1
30,20230325,1
30,20230326,1
30,20230331,1
31,20230123,1
31,20230124,1
31,20230125,1
31,20230126,1
31,20230130,1
31,20230131,1
31,20230201,1
31,20230202,1
31,20230206,1
31,20230207,1
31,20230208,1
31,20230209,1
31,20230213,1
31,20230214,1
31,20230215,1
31,20230216,1
31,20230221,1
31,20230222,1
31,20230223,1
31,20230227,1
31,20230228,1
31,20230301,1
31,20230302,1
31,20230306,1
31,20230307,1
31,20230308,1
31,20230309,1
31,20230313,1
31,20230314,1
31,20230315,1
31,20230316,1
31,20230320,1
31,20230321,1
31,20230322,1
31,20230323,1
31,20230327,1
31,20230330,1
32,20230122,1
32,20230129,1
32,20230205,1
32,20230212,1
32,20230220,1
32,20230226,1
32,20230305,1
32,20230312,1
32,20230319,1
32,20230326,1
33,20230114,1
33,20230121,1
33,20230128,1
33,20230204,1
33,20230211,1
33,20230218,1
33,20230225,1
33,20230304,1
33,20230311,1
33,20230318,1
33,20230325,1
33,20230401,1
33,20230408,1
33,20230415,1
33,20230422,1
33,20230429,1
33,20230506,1
33,20230513,1
33,20230520,1
33,20230527,1
33,20230603,1
33,20230610,1
33,20230617,1
33,20230624,1
33,20230701,1
33,20230708,1
34,20230115,1
34,20230116,1
34,20230122,1
34,20230129,1
34,20230205,1
34,20230212,1
34,20230219,1
34,20230220,1
34,20230226,1
34,20230305,1
34,20230312,1
34,20230319,1
34,20230326,1
34,20230402,1
34,20230409,1
34,20230416,1
34,20230423,1
34,20230430,1
34,20230507,1
34,20230514,1
34,20230521,1
34,20230528,1
34,20230604,1
34,20230611,1
34,20230618,1
34,20230625,1
34,20230702,1
