trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
3360,23:06:00,23:06:00,15,6,0,0,8.3648
3360,23:09:00,23:09:00,141,7,0,0,10.4828
3360,23:13:00,23:13:00,79,8,0,0,12.6574
3360,23:19:00,23:19:00,122,9,0,0,14.6127
3360,23:28:00,23:28:00,13,10,0,0,15.6930
3361,23:15:00,23:15:00,38065,1,0,0,0.0000
3361,23:17:00,23:17:00,38064,2,0,0,0.4006
3361,23:21:00,23:21:00,26316,3,0,0,0.8252
3361,23:23:00,23:23:00,6907,4,0,0,1.3703
3361,23:25:00,23:25:00,14984,5,0,0,1.8814
3361,23:27:00,23:27:00,6966,6,0,0,2.4307
3361,23:29:00,23:29:00,14986,7,0,0,3.0044
3361,23:30:00,23:30:00,6957,8,0,0,3.4725
3361,23:31:00,23:31:00,6995,9,0,0,3.7331
3361,23:32:00,23:32:00,6997,10,0,0,4.2576
3361,23:33:00,23:33:00,6900,11,0,0,4.4379
3361,23:35:00,23:35:00,42545,12,0,0,4.8572
3362,23:35:00,23:35:00,38065,1,0,0,0.0000
3362,23:37:00,23:37:00,38064,2,0,0,0.4006
3362,23:41:00,23:41:00,26316,3,0,0,0.8252
3362,23:43:00,23:43:00,6907,4,0,0,1.3703
3362,23:45:00,23:45:00,14984,5,0,0,1.8814
3362,23:47:00,23:47:00,6966,6,0,0,2.4307
3362,23:49:00,23:49:00,14986,7,0,0,3.0044
3362,23:50:00,23:50:00,6957,8,0,0,3.4725
3362,23:51:00,23:51:00,6995,9,0,0,3.7331
3362,23:52:00,23:52:00,6997,10,0,0,4.2576
3362,23:53:00,23:53:00,6900,11,0,0,4.4379
3362,23:55:00,23:55:00,42545,12,0,0,4.8572
3363,23:55:00,23:55:00,38065,1,0,0,0.0000
3363,23:57:00,23:57:00,38064,2,0,0,0.4006
3363,24:01:00,24:01:00,26316,3,0,0,0.8252
3363,24:03:00,24:03:00,6907,4,0,0,1.3703
3363,24:05:00,24:05:00,14984,5,0,0,1.8814
3363,24:07:00,24:07:00,6966,6,0,0,2.4307
3363,24:09:00,24:09:00,14986,7,0,0,3.0044
3363,24:10:00,24:10:00,6957,8,0,0,3.4725
3363,24:11:00,24:11:00,6995,9,0,0,3.7331
3363,24:12:00,24:12:00,6997,10,0,0,4.2576
3363,24:13:00,24:13:00,6900,11,0,0,4.4379
3363,24:15:00,24:15:00,42545,12,0,0,4.8572
3364,24:15:00,24:15:00,38065,1,0,0,0.0000
3364,24:17:00,24:17:00,38064,2,0,0,0.4006
3364,24:21:00,24:21:00,26316,3,0,0,0.8252
3364,24:23:00,24:23:00,6907,4,0,0,1.3703
3364,24:25:00,24:25:00,14984,5,0,0,1.8814
3364,24:27:00,24:27:00,6966,6,0,0,2.4307
3364,24:29:00,24:29:00,14986,7,0,0,3.0044
3364,24:30:00,24:30:00,6957,8,0,0,3.4725
3364,24:31:00,24:31:00,6995,9,0,0,3.7331
3364,24:32:00,24:32:00,6997,10,0,0,4.2576
3364,24:33:00,24:33:00,6900,11,0,0,4.4379
3364,24:35:00,24:35:00,42545,12,0,0,4.8572
3365,24:35:00,24:35:00,38065,1,0,0,0.0000
3365,24:37:00,24:37:00,38064,2,0,0,0.4006
3365,24:41:00,24:41:00,26316,3,0,0,0.8252
3365,24:43:00,24:43:00,6907,4,0,0,1.3703
3365,24:45:00,24:45:00,14984,5,0,0,1.8814
3365,24:47:00,24:47:00,6966,6,0,0,2.4307
3365,24:49:00,24:49:00,14986,7,0,0,3.0044
3365,24:50:00,24:50:00,6957,8,0,0,3.4725
3365,24:51:00,24:51:00,6995,9,0,0,3.7331
3365,24:52:00,24:52:00,6997,10,0,0,4.2576
3365,24:53:00,24:53:00,6900,11,0,0,4.4379
3365,24:55:00,24:55:00,42545,12,0,0,4.8572
3366,24:55:00,24:55:00,38065,1,0,0,0.0000
3366,24:57:00,24:57:00,38064,2,0,0,0.4006
3366,25:01:00,25:01:00,26316,3,0,0,0.8252
3366,25:03:00,25:03:00,6907,4,0,0,1.3703
3366,25:05:00,25:05:00,14984,5,0,0,1.8814
3366,25:07:00,25:07:00,6966,6,0,0,2.4307
3366,25:09:00,25:09:00,14986,7,0,0,3.0044
3366,25:10:00,25:10:00,6957,8,0,0,3.4725
3366,25:11:00,25:11:00,6995,9,0,0,3.7331
3366,25:12:00,25:12:00,6997,10,0,0,4.2576
3366,25:13:00,25:13:00,6900,11,0,0,4.4379
3366,25:15:00,25:15:00,42545,12,0,0,4.8572
3367,04:55:00,04:55:00,38065,1,0,0,0.0000
3367,04:57:00,04:57:00,38064,2,0,0,0.4006
3367,05:01:00,05:01:00,26316,3,0,0,0.8252
3367,05:03:00,05:03:00,6907,4,0,0,1.3703
3367,05:05:00,05:05:00,14984,5,0,0,1.8814
3367,05:07:00,05:07:00,6966,6,0,0,2.4307
3367,05:09:00,05:09:00,14986,7,0,0,3.0044
3367,05:10:00,05:10:00,6957,8,0,0,3.4725
3367,05:11:00,05:11:00,6995,9,0,0,3.7331
3367,05:12:00,05:12:00,6997,10,0,0,4.2576
3367,05:13:00,05:13:00,6900,11,0,0,4.4379
3367,05:15:00,05:15:00,42545,12,0,0,4.8572
3367,05:18:00,05:18:00,26326,13,0,0,4.8670
3367,05:21:00,05:21:00,39134,14,0,0,5.4413
3367,05:23:00,05:23:00,39133,15,0,0,5.7977
3367,05:24:00,05:24:00,39131,16,0,0,5.8951
3367,05:26:00,05:26:00,39130,17,0,0,6.0600
3368,05:15:00,05:15:00,38065,1,0,0,0.0000
3368,05:17:00,05:17:00,38064,2,0,0,0.4006
3368,05:21:00,05:21:00,26316,3,0,0,0.8252
3368,05:23:00,05:23:00,6907,4,0,0,1.3703
3368,05:25:00,05:25:00,14984,5,0,0,1.8814
3368,05:27:00,05:27:00,6966,6,0,0,2.4307
3368,05:29:00,05:29:00,14986,7,0,0,3.0044
3368,05:30:00,05:30:00,6957,8,0,0,3.4725
3368,05:31:00,05:31:00,6995,9,0,0,3.7331
3368,05:32:00,05:32:00,6997,10,0,0,4.2576
3368,05:33:00,05:33:00,6900,11,0,0,4.4379
3368,05:35:00,05:35:00,42545,12,0,0,4.8572
3368,05:38:00,05:38:00,26326,13,0,0,4.8670
3368,05:41:00,05:41:00,39134,14,0,0,5.4413
3368,05:43:00,05:43:00,39133,15,0,0,5.7977
3368,05:44:00,05:44:00,39131,16,0,0,5.8951
3368,05:46:00,05:46:00,39130,17,0,0,6.0600
3369,05:35:00,05:35:00,38065,1,0,0,0.0000
3369,05:37:00,05:37:00,38064,2,0,0,0.4006
3369,05:41:00,05:41:00,26316,3,0,0,0.8252
3369,05:43:00,05:43:00,6907,4,0,0,1.3703
3369,05:45:00,05:45:00,14984,5,0,0,1.8814
3369,05:47:00,05:47:00,6966,6,0,0,2.4307
3369,05:49:00,05:49:00,14986,7,0,0,3.0044
3369,05:50:00,05:50:00,6957,8,0,0,3.4725
3369,05:51:00,05:51:00,6995,9,0,0,3.7331
3369,05:52:00,05:52:00,6997,10,0,0,4.2576
3369,05:53:00,05:53:00,6900,11,0,0,4.4379
3369,05:55:00,05:55:00,42545,12,0,0,4.8572
3369,05:58:00,05:58:00,26326,13,0,0,4.8670
3369,06:01:00,06:01:00,39134,14,0,0,5.4413
3369,06:03:00,06:03:00,39133,15,0,0,5.7977
3369,06:04:00,06:04:00,39131,16,0,0,5.8951
3369,06:06:00,06:06:00,39130,17,0,0,6.0600
3370,05:55:00,05:55:00,38065,1,0,0,0.0000
3370,05:57:00,05:57:00,38064,2,0,0,0.4006
3370,06:01:00,06:01:00,26316,3,0,0,0.8252
3370,06:03:00,06:03:00,6907,4,0,0,1.3703
3370,06:05:00,06:05:00,14984,5,0,0,1.8814
3370,06:07:00,06:07:00,6966,6,0,0,2.4307
3370,06:09:00,06:09:00,14986,7,0,0,3.0044
3370,06:10:00,06:10:00,6957,8,0,0,3.4725
3370,06:11:00,06:11:00,6995,9,0,0,3.7331
3370,06:12:00,06:12:00,6997,10,0,0,4.2576
3370,06:13:00,06:13:00,6900,11,0,0,4.4379
3370,06:15:00,06:15:00,42545,12,0,0,4.8572
3370,06:18:00,06:18:00,26326,13,0,0,4.8670
3370,06:21:00,06:21:00,39134,14,0,0,5.4413
3370,06:23:00,06:23:00,39133,15,0,0,5.7977
3370,06:24:00,06:24:00,39131,16,0,0,5.8951
3370,06:26:00,06:26:00,39130,17,0,0,6.0600
3371,06:15:00,06:15:00,38065,1,0,0,0.0000
3371,06:17:00,06:17:00,38064,2,0,0,0.4006
3371,06:21:00,06:21:00,26316,3,0,0,0.8252
3371,06:23:00,06:23:00,6907,4,0,0,1.3703
3371,06:25:00,06:25:00,14984,5,0,0,1.8814
3371,06:27:00,06:27:00,6966,6,0,0,2.4307
3371,06:29:00,06:29:00,14986,7,0,0,3.0044
3371,06:30:00,06:30:00,6957,8,0,0,3.4725
3371,06:31:00,06:31:00,6995,9,0,0,3.7331
3371,06:32:00,06:32:00,6997,10,0,0,4.2576
3371,06:33:00,06:33:00,6900,11,0,0,4.4379
3371,06:35:00,06:35:00,42545,12,0,0,4.8572
3371,06:38:00,06:38:00,26326,13,0,0,4.8670
3371,06:41:00,06:41:00,39134,14,0,0,5.4413
3371,06:43:00,06:43:00,39133,15,0,0,5.7977
3371,06:44:00,06:44:00,39131,16,0,0,5.8951
3371,06:46:00,06:46:00,39130,17,0,0,6.0600
3372,06:35:00,06:35:00,38065,1,0,0,0.0000
3372,06:37:00,06:37:00,38064,2,0,0,0.4006
3372,06:41:00,06:41:00,26316,3,0,0,0.8252
3372,06:43:00,06:43:00,6907,4,0,0,1.3703
3372,06:45:00,06:45:00,14984,5,0,0,1.8814
3372,06:47:00,06:47:00,6966,6,0,0,2.4307
3372,06:49:00,06:49:00,14986,7,0,0,3.0044
3372,06:50:00,06:50:00,6957,8,0,0,3.4725
3372,06:51:00,06:51:00,6995,9,0,0,3.7331
3372,06:52:00,06:52:00,6997,10,0,0,4.2576
